,,,,All Type of Report (All Grades) for 01-Jan-2021 to 07-Aug-2026,,,
State/UT,District,Market,Commodity Group,Commodity,Date,Arrival Quantity 01-01-2021 to 07-08-2026,Arrival Unit
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),22-01-2025,15.00,Metric Tonnes
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),25-01-2025,5.00,Metric Tonnes
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),27-01-2025,5.00,Metric Tonnes
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),20-02-2025,6.00,Metric Tonnes
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),16-12-2025,0.50,Metric Tonnes
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),23-12-2025,6.00,Metric Tonnes
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),08-01-2026,1.00,Metric Tonnes
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),20-01-2026,3.00,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),23-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),24-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),25-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),26-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),27-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),28-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),29-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),30-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),31-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),01-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),02-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),03-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),04-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),05-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),06-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Chodavaram APMC,Cereals,Paddy(Common),07-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),23-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),24-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),25-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),26-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),27-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),28-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),29-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),30-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),31-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),01-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),02-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),03-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),04-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),05-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),06-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Madugula APMC,Cereals,Paddy(Common),07-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),23-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),24-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),25-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),26-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),28-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),29-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),30-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),31-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),01-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),02-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),03-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),04-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),05-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),06-08-2026,1.00,Metric Tonnes
Andhra Pradesh,Anakapally,Narsipatnam APMC,Cereals,Paddy(Common),07-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),23-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),24-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),25-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),26-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),27-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),28-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),29-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),31-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),01-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),02-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),03-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),04-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),05-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),06-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cereals,Paddy(Common),07-08-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),23-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),24-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),25-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),26-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),27-07-2026,1.00,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),28-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),29-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),30-07-2026,0.10,Metric Tonnes
Andhra Pradesh,Anakapally,Yellamanchili APMC,Cereals,Paddy(Common),31-07-2026,0.10,Metric Tonnes
