date,District,rainfall_mm,temp_max,temp_min,humidity,week_of_year,rainfall_7d,rainfall_anomaly_7d,heavy_rain_flag,dry_spell_flag
2021-01-01,Nandyal,0.0,29.2,20.1,68,53,0.0,0.0,0,0
2021-01-02,Nandyal,0.0,29.7,16.4,68,53,0.0,0.0,0,0
2021-01-03,Nandyal,0.0,29.5,18.3,69,53,0.0,0.0,0,0
2021-01-04,Nandyal,0.0,29.6,18.5,67,1,0.0,-1.8476190476190502,0,0
2021-01-05,Nandyal,0.6,28.1,18.6,80,1,0.0,-1.8476190476190502,0,0
2021-01-06,Nandyal,5.5,27.3,22.9,86,1,0.6,-1.2476190476190503,0,0
2021-01-07,Nandyal,11.8,25.5,21.3,79,1,6.1,4.25238095238095,0,0
2021-01-08,Nandyal,0.1,30.3,18.3,75,1,17.9,16.052380952380947,0,0
2021-01-09,Nandyal,0.0,29.8,21.5,74,1,18.0,16.15238095238095,0,0
2021-01-10,Nandyal,0.0,30.2,19.4,75,1,18.0,16.15238095238095,0,0
2021-01-11,Nandyal,0.0,32.1,20.3,72,2,18.0,14.326190476190474,0,0
2021-01-12,Nandyal,0.0,32.0,18.3,68,2,18.0,14.326190476190474,0,0
2021-01-13,Nandyal,0.0,31.4,17.8,72,2,17.4,13.726190476190473,0,0
2021-01-14,Nandyal,0.0,31.7,17.8,71,2,11.9,8.226190476190474,0,0
2021-01-15,Nandyal,0.0,30.9,18.0,69,2,0.1,-3.573809523809526,0,0
2021-01-16,Nandyal,0.0,31.5,18.8,68,2,0.0,-3.6738095238095263,0,0
2021-01-17,Nandyal,0.0,30.8,19.0,67,2,0.0,-3.6738095238095263,0,0
2021-01-18,Nandyal,0.0,30.7,18.1,69,3,0.0,-2.9500000000000037,0,0
2021-01-19,Nandyal,0.0,30.3,18.1,70,3,0.0,-2.9500000000000037,0,0
2021-01-20,Nandyal,0.0,32.3,17.6,63,3,0.0,-2.9500000000000037,0,0
2021-01-21,Nandyal,0.0,33.0,18.6,59,3,0.0,-2.9500000000000037,0,0
2021-01-22,Nandyal,0.0,33.9,20.1,56,3,0.0,-2.9500000000000037,0,0
2021-01-23,Nandyal,0.0,32.9,19.7,61,3,0.0,-2.9500000000000037,0,0
2021-01-24,Nandyal,0.0,32.6,18.8,59,3,0.0,-2.9500000000000037,0,0
2021-01-25,Nandyal,0.0,33.1,18.6,54,4,0.0,-0.04761904761904977,0,0
2021-01-26,Nandyal,0.0,33.3,18.5,54,4,0.0,-0.04761904761904977,0,0
2021-01-27,Nandyal,0.0,33.0,18.6,57,4,0.0,-0.04761904761904977,0,0
2021-01-28,Nandyal,0.0,32.0,19.2,63,4,0.0,-0.04761904761904977,0,0
2021-01-29,Nandyal,0.0,32.4,19.2,62,4,0.0,-0.04761904761904977,0,0
2021-01-30,Nandyal,0.0,33.6,20.0,56,4,0.0,-0.04761904761904977,0,0
2021-01-31,Nandyal,0.0,33.4,19.5,54,4,0.0,-0.04761904761904977,0,0
2021-02-01,Nandyal,0.0,31.7,20.0,57,5,0.0,-0.4500000000000037,0,0
2021-02-02,Nandyal,0.0,31.7,20.0,62,5,0.0,-0.4500000000000037,0,0
2021-02-03,Nandyal,0.0,31.6,19.5,59,5,0.0,-0.4500000000000037,0,0
2021-02-04,Nandyal,0.0,31.8,18.0,52,5,0.0,-0.4500000000000037,0,0
2021-02-05,Nandyal,0.0,32.4,17.8,49,5,0.0,-0.4500000000000037,0,0
2021-02-06,Nandyal,0.0,33.4,18.2,50,5,0.0,-0.4500000000000037,0,0
2021-02-07,Nandyal,0.0,33.4,18.2,47,5,0.0,-0.4500000000000037,0,0
2021-02-08,Nandyal,0.0,32.6,17.8,44,6,0.0,-0.35714285714285926,0,0
2021-02-09,Nandyal,0.0,32.0,18.5,57,6,0.0,-0.35714285714285926,0,0
2021-02-10,Nandyal,0.0,32.8,18.3,52,6,0.0,-0.35714285714285926,0,0
2021-02-11,Nandyal,0.0,33.2,18.1,54,6,0.0,-0.35714285714285926,0,0
2021-02-12,Nandyal,0.0,33.4,17.7,47,6,0.0,-0.35714285714285926,0,0
2021-02-13,Nandyal,0.0,33.5,17.9,46,6,0.0,-0.35714285714285926,0,0
2021-02-14,Nandyal,0.0,33.9,18.3,40,6,0.0,-0.35714285714285926,0,0
2021-02-15,Nandyal,0.0,34.3,18.5,43,7,0.0,-0.09047619047619047,0,0
2021-02-16,Nandyal,0.0,34.5,19.3,42,7,0.0,-0.09047619047619047,0,0
2021-02-17,Nandyal,0.0,34.3,19.7,50,7,0.0,-0.09047619047619047,0,0
2021-02-18,Nandyal,0.0,32.1,19.4,57,7,0.0,-0.09047619047619047,0,0
2021-02-19,Nandyal,1.8,29.9,20.5,71,7,0.0,-0.09047619047619047,0,0
2021-02-20,Nandyal,0.2,32.1,18.5,65,7,1.8,1.7095238095238097,0,0
2021-02-21,Nandyal,4.7,28.0,21.8,75,7,2.0,1.9095238095238096,0,0
2021-02-22,Nandyal,0.1,33.4,20.6,65,8,6.7,5.65952380952381,0,0
2021-02-23,Nandyal,0.0,34.4,20.4,54,8,6.8,5.7595238095238095,0,0
2021-02-24,Nandyal,0.0,35.5,20.5,48,8,6.8,5.7595238095238095,0,0
2021-02-25,Nandyal,0.0,36.8,20.5,44,8,6.8,5.7595238095238095,0,0
2021-02-26,Nandyal,0.0,37.4,20.2,43,8,6.8,5.7595238095238095,0,0
2021-02-27,Nandyal,0.0,37.2,21.6,39,8,5.0,3.9595238095238097,0,0
2021-02-28,Nandyal,0.0,38.5,21.8,38,8,4.8,3.7595238095238095,0,0
2021-03-01,Nandyal,0.0,37.7,20.8,43,9,0.1,0.026190476190474488,0,0
2021-03-02,Nandyal,0.0,37.1,22.2,46,9,0.0,-0.07380952380952552,0,0
2021-03-03,Nandyal,0.0,38.2,21.4,40,9,0.0,-0.07380952380952552,0,0
2021-03-04,Nandyal,0.0,36.9,20.6,35,9,0.0,-0.07380952380952552,0,0
2021-03-05,Nandyal,0.0,36.6,19.1,37,9,0.0,-0.07380952380952552,0,0
2021-03-06,Nandyal,0.0,37.9,19.2,37,9,0.0,-0.07380952380952552,0,0
2021-03-07,Nandyal,0.0,38.4,21.6,40,9,0.0,-0.07380952380952552,0,0
2021-03-08,Nandyal,0.0,37.4,21.2,43,10,0.0,-0.028571428571429257,0,0
2021-03-09,Nandyal,0.0,36.7,20.6,47,10,0.0,-0.028571428571429257,0,0
2021-03-10,Nandyal,0.0,36.9,20.8,52,10,0.0,-0.028571428571429257,0,0
2021-03-11,Nandyal,0.0,37.5,21.3,50,10,0.0,-0.028571428571429257,0,0
2021-03-12,Nandyal,0.0,37.4,20.9,40,10,0.0,-0.028571428571429257,0,0
