date,state,District,Market,commodity,variety,grade,min_price,max_price,modal_price,weighted_avg_modal_price,arrival_qty_mt,arrival_lag_1,arrival_7d_mean,arrival_change_pct,rainfall,temp_max,temp_min,humidity,temp_avg,day_of_week,month,week_of_year,rainfall_7d,rainfall_anomaly_7d,heavy_rain_flag,dry_spell_flag,is_likely_non_trading_day,is_procurement_active,msp_value,msp_announced,msp_changed,procurement_started,procurement_ended,target_modal_price,target_return,ret_1,ret_3,ret_7,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,ratio_ma7,ratio_ma14,is_harvest_season,mkt_Jaggampet,mkt_Kovvur,mkt_Kuchinapudi,mkt_Mylavaram,mkt_Nandigama,mkt_Polavaram,mkt_Rampachodvaram,mkt_Rapur,mkt_Tiruvuru,dist_Alluri Sitharama Raju,dist_Bapatla,dist_East Godavari,dist_Eluru,dist_Kakinada,dist_Krishna,dist_NTR,dist_Nellore,dist_Polavaram,dist_SPSR Nellore
2025-11-04,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,FAQ,2400.0,2700.0,2550.0,2550.0,1270.69,1522.2,1076.44,1.4135853364622317,5.5,32.0,24.1,86.0,28.05,1,11,45,0.4,-14.5,0,0,0,1,2320.0,0,0,0,0,2600.0,0.0196078430603614,-0.05204460947195312,,,2635.0,,77.78174593052023,0.0,0.967741931811226,,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-05,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,FAQ,2400.0,2800.0,2600.0,2600.0,1094.97,1270.69,1141.1899999999998,-0.16522795953225589,27.9,31.2,24.2,89.0,27.7,2,11,45,5.9,-9.0,0,0,0,1,2320.0,0,0,0,0,2600.0,0.0,0.0196078430603614,0.007751937954449852,,2606.6666666666665,2606.6666666666665,73.71114795831988,73.71114795831988,0.9974424514164612,0.9974424514164612,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-06,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,FAQ,2400.0,2800.0,2600.0,2600.0,685.53,1094.97,1129.635,-0.13828707237799942,0.4,31.5,23.8,84.0,27.65,3,11,45,33.8,18.9,0,0,0,1,2320.0,0,0,0,0,2400.0,-0.07692307662721894,0.0,-0.033457248946255576,,2605.0,2605.0,60.27713773341704,60.27713773341704,0.9980806103720513,0.9980806103720513,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-07,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Grade Range-1,2400.0,2400.0,2400.0,2400.0,654.62,685.53,1040.8139999999999,-0.37392805282336505,0.2,31.7,22.6,77.0,27.15,4,11,45,34.199999999999996,19.299999999999997,0,0,0,1,2320.0,0,0,0,0,2400.0,0.0,-0.07692307662721894,-0.058823529181084196,,2604.0,2604.0,52.24940191045249,52.24940191045249,0.9216589826357181,0.9216589826357181,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-10,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2400.0,2400.0,2400.0,2400.0,311.47,654.62,976.4483333333333,-0.045089201056117134,0.3,31.2,22.1,74.0,26.65,0,11,46,34.4,-0.14999999999999858,0,0,0,1,2320.0,0,0,0,0,2400.0,0.0,0.0,-0.07692307662721894,,2570.0,2570.0,95.49869109050655,95.49869109050655,0.933852136444155,0.933852136444155,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-11,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2400.0,2400.0,2400.0,2400.0,2422.2,311.47,881.4514285714286,-0.5241972442027436,0.1,31.5,22.7,77.0,27.1,1,11,46,34.699999999999996,0.14999999999999858,0,0,0,1,2320.0,0,0,0,0,2350.0,-0.020833333246527776,0.0,-0.07692307662721894,-0.06976744159004868,2545.714285714286,2545.714285714286,108.29852920779408,108.29852920779408,0.9427609390576168,0.9427609390576168,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-12,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,5055.54,311.47,703.22,-0.7155447181201311,0.1,32.4,23.1,77.0,27.75,2,11,46,28.2,0.0,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,,,2387.0,,14.142135623730951,0.0,0.9958106368001229,,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-12,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2350.0,2350.0,2350.0,2350.0,5055.54,2422.2,1137.3828571428571,6.776671910617393,0.1,32.4,23.1,77.0,27.75,2,11,46,34.599999999999994,0.04999999999999716,0,0,0,1,2320.0,0,0,0,0,2500.0,0.06382978696242643,-0.020833333246527776,-0.020833333246527776,-0.1263940515747433,2520.0,2527.5,119.58260743101398,112.72596354497422,0.9325396788391281,0.929772498794174,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-13,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,1285.7,5055.54,2153.9933333333333,15.23122612129579,0.0,31.5,21.9,65.0,26.7,3,11,46,28.299999999999997,0.09999999999999787,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,-0.008343763002320554,,2383.6666666666665,2383.6666666666665,11.547005383792483,11.547005383792483,0.9972031841817793,0.9972031841817793,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-14,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,4569.2,1285.7,1936.92,-0.745684931777812,0.0,30.5,19.5,60.0,25.0,4,11,46,28.299999999999997,0.09999999999999787,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,,2382.0,2382.0,9.999999999999963,9.999999999999963,0.9979009194042782,0.9979009194042782,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-14,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,4569.2,1285.7,3170.62,-0.745684931777812,0.0,30.5,19.5,60.0,25.0,4,11,46,0.1,0.03333333333333334,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,,,2365.0,,7.0710678118654755,0.0,1.0021141606675934,,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-11-14,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2500.0,2500.0,2500.0,2500.0,4569.2,5055.54,1642.1457142857143,1.0871686896210058,0.0,30.5,19.5,60.0,25.0,4,11,46,34.5,-0.04999999999999716,0,0,0,1,2320.0,0,0,0,0,2450.0,-0.019999999919999997,0.06382978696242643,0.04166666649305555,-0.0196078430603614,2471.4285714285716,2507.777777777778,107.45984853711191,120.91089464744046,1.0115606895485982,0.9968985339069176,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-16,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,190.6,4569.2,2463.376,2.5538617095745506,0.0,30.7,19.5,61.0,25.1,6,11,46,28.299999999999997,0.09999999999999787,0,0,1,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,,2381.0,2381.0,8.944271909999127,8.944271909999127,0.9983200294064677,0.9983200294064677,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-17,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,188.9,4569.2,3636.813333333333,2.5538617095745506,0.0,30.6,19.7,57.0,25.15,0,11,47,0.1,0.0,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0042372881176386094,,2366.6666666666665,2366.6666666666665,5.77350269189629,5.77350269189629,1.001408446472922,1.001408446472922,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-11-18,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,565.8,190.6,2084.58,-0.9582859143832618,0.0,31.4,19.7,59.0,25.549999999999997,1,11,47,28.299999999999997,16.639999999999997,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,,2380.3333333333335,2380.3333333333335,8.16496580927724,8.16496580927724,0.998599631710126,0.998599631710126,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-18,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,565.8,188.9,2774.835,-0.9586579707607459,0.0,31.4,19.7,59.0,25.549999999999997,1,11,47,0.1,0.0,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,,2367.5,2367.5,5.000000000000038,5.000000000000038,1.0010559619807562,1.0010559619807562,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-11-19,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,5200.91,565.8,1867.6114285714286,1.968520461699895,0.0,30.7,19.2,64.0,24.95,2,11,47,28.299999999999997,16.639999999999997,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,-0.008343763002320554,2379.8571428571427,2379.8571428571427,7.559289460184541,7.559289460184541,0.9987994435490749,0.9987994435490749,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-19,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,5200.91,565.8,2333.028,1.9952355743779773,0.0,30.7,19.2,64.0,24.95,2,11,47,0.1,0.0,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,,2368.0,2368.0,4.472135954999612,4.472135954999612,1.000844590368055,1.000844590368055,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-11-20,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,2143.87,5200.91,2454.174285714286,8.192135030045954,0.0,30.8,19.2,72.0,25.0,3,11,47,0.4,-11.26,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2379.5,0.0,7.071067811865478,0.9999999957930163,0.9989493549109083,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-21,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,4941.31,2143.87,2715.945714285714,-0.5877894445395133,1.2,32.1,23.9,73.0,28.0,4,11,47,0.1,-11.56,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2379.222222222222,0.0,6.666666666666668,0.9999999957930163,0.999065983752116,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-21,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2450.0,2450.0,2450.0,2450.0,4941.31,4569.2,2113.3614285714284,-0.0961994168773267,1.2,32.1,23.9,73.0,28.0,4,11,47,29.0,13.35,0,0,0,1,2320.0,0,0,0,0,2450.0,0.0,-0.019999999919999997,0.020833333246527776,-0.0576923074704142,2464.285714285714,2507.0,102.93317295817747,114.02241495035575,0.9942028945162781,0.9772636578489682,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-22,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,6250.1,4941.31,2699.6271428571426,1.304855238423972,0.0,33.8,23.7,72.0,28.75,5,11,47,1.2,-10.46,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2379.0,0.0,6.324555320336759,0.9999999957930163,0.9991593064348073,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-22,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,6250.1,5200.91,2811.008333333333,8.192135030045954,0.0,33.8,23.7,72.0,28.75,5,11,47,0.1,0.0,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,,2368.3333333333335,2368.3333333333335,4.082482904638651,4.082482904638651,1.000703725542419,1.000703725542419,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-11-22,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2450.0,2450.0,2450.0,2450.0,6250.1,4941.31,2662.8385714285714,0.08143876389740012,0.0,33.8,23.7,72.0,28.75,5,11,47,2.3,-13.350000000000001,0,0,0,1,2320.0,0,0,0,0,2450.0,0.0,0.0,0.04255319130828429,-0.0576923074704142,2442.8571428571427,2501.818181818182,83.80817098475242,109.52791259018696,1.0029239725026504,0.9792877867833699,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-24,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,3551.01,6250.1,3408.827142857143,0.26486700895106763,0.0,32.5,23.4,71.0,27.95,0,11,48,1.2,0.0,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2378.818181818182,0.0,6.030226891555276,0.9999999957930163,0.9992356743258329,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-24,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,3551.01,6250.1,3302.307142857143,0.2017320045915043,0.0,32.5,23.4,71.0,27.95,0,11,48,0.1,0.07500000000000001,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0042372881176386094,2368.5714285714284,2368.5714285714284,3.779644730092274,3.779644730092274,1.0006031320843052,1.0006031320843052,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-11-25,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,6323.6,3551.01,3263.371428571429,-0.4318474904401529,0.0,32.1,22.5,67.0,27.3,1,11,48,1.2,0.0,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2378.6666666666665,0.0,5.773502691896267,0.9999999957930163,0.9992993231531698,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-26,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2450.0,2450.0,2450.0,2450.0,3420.4,6250.1,3457.777142857143,0.26486700895106763,0.0,31.5,21.2,67.0,26.35,2,11,48,1.9000000000000001,0.2333333333333334,0,0,0,1,2320.0,0,0,0,0,2450.0,0.0,0.0,-0.019999999919999997,0.020833333246527776,2421.4285714285716,2497.5,48.79500364742633,105.49666086917375,1.0117994058509758,0.9809809770531291,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-27,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,128.8,6323.6,4139.514285714286,0.7807891276003165,0.0,30.6,20.4,65.0,25.5,3,11,48,1.2,0.0,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2378.5384615384614,0.0,5.547001962252308,0.9999999957930163,0.9993531861868661,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-27,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,128.8,3551.01,3087.3742857142856,-0.4318474904401529,0.0,30.6,20.4,65.0,25.5,3,11,48,0.0,-0.025,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2368.75,0.0,3.5355339059327178,0.9999999957805906,1.0005277002616244,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-11-27,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2450.0,2450.0,2450.0,2450.0,128.8,3420.4,3852.888571428571,-0.45274475608390263,0.0,30.6,20.4,65.0,25.5,3,11,48,1.7,0.033333333333333215,0,0,0,1,2320.0,0,0,0,0,2500.0,0.020408163182007496,0.0,0.0,0.020833333246527776,2428.5714285714284,2493.846153846154,48.7950036474264,101.86089055982687,1.0088235252577855,0.9824182563937577,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-28,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,2826.8,128.8,4077.0857142857144,-0.9796318552723132,0.0,30.3,19.6,62.0,24.950000000000003,4,11,48,1.2,0.0,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2378.4285714285716,0.0,5.345224838248509,0.9999999957930163,0.9993993591231931,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-28,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,2826.8,128.8,2922.102857142857,-0.9637286293195457,0.0,30.3,19.6,62.0,24.950000000000003,4,11,48,0.0,-0.025,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2368.8888888888887,0.0,3.3333333333332993,0.9999999957805906,1.0004690389286017,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-11-29,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,2789.7,2826.8,3737.9271428571433,20.9472049689441,0.0,31.5,20.9,68.0,26.2,5,11,48,1.2,0.0,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2377.0,0.0,0.0,0.9999999957930163,0.9999999957930163,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-29,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,2789.7,2826.8,2673.1885714285713,20.9472049689441,0.0,31.5,20.9,68.0,26.2,5,11,48,0.0,-0.025,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2369.0,0.0,3.162277660168343,0.9999999957805906,1.0004221148145962,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-11-29,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2500.0,2500.0,2500.0,2500.0,2789.7,128.8,3826.7928571428574,-0.9623435855455502,0.0,31.5,20.9,68.0,26.2,5,11,48,1.4,-0.26666666666666683,0,0,0,1,2320.0,0,0,0,0,2450.0,-0.019999999919999997,0.020408163182007496,0.020408163182007496,0.04166666649305555,2435.714285714286,2490.714285714286,47.55948656056694,98.56386338225164,1.0263929576629027,1.0037281290357918,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-30,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,17.8,2789.7,3830.188571428572,-0.013124380925428225,17.9,28.9,23.0,81.0,25.95,6,11,48,1.2,0.0,0,0,1,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2377.0,0.0,0.0,0.9999999957930163,0.9999999957930163,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-12-01,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,2930.5,17.8,3126.8300000000004,-0.9936193855970176,8.3,25.7,22.3,81.0,24.0,0,12,49,17.9,-4.149999999999999,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2377.0,0.0,0.0,0.9999999957930163,0.9999999957930163,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-12-01,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,2930.5,2789.7,3044.7314285714283,-0.013124380925428225,8.3,25.7,22.3,81.0,24.0,0,12,49,0.0,-16.54,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2369.090909090909,0.0,3.015113445777603,0.9999999957805906,1.0003837256315344,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-12-02,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,3215.8,2930.5,3382.5457142857144,0.05047137685055758,16.5,26.2,21.7,83.0,23.95,1,12,49,8.3,-8.239999999999998,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2369.1666666666665,0.0,2.886751345948101,0.9999999957805906,1.0003517368961587,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-12-02,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2450.0,2450.0,2450.0,2450.0,3215.8,2789.7,3879.292857142857,20.659161490683225,16.5,26.2,21.7,83.0,23.95,1,12,49,1.3,0.0,0,0,0,1,2320.0,0,0,0,0,2450.0,0.0,-0.019999999919999997,0.0,0.04255319130828429,2450.0,2485.0,50.000000000000156,95.25270034532839,0.9999999959183673,0.9859154889902796,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-12-04,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,2700.5,3215.8,3098.9585714285713,0.09735540010237176,0.0,30.4,22.5,73.0,26.45,3,12,49,24.8,8.260000000000002,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2369.230769230769,0.0,2.773500981126123,0.9999999957805906,1.0003246711025258,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-12-05,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,929.0,2700.5,2591.8728571428574,-0.16024006468063934,0.0,29.5,21.2,71.0,25.35,4,12,49,24.8,8.260000000000002,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2369.285714285714,0.0,2.6726124191242246,0.9999999957805906,1.0003014730165147,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-12-06,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,4035.6,2930.5,2652.601428571429,163.63483146067415,0.0,29.6,19.9,69.0,24.75,5,12,49,26.2,4.150000000000002,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2377.0,0.0,0.0,0.9999999957930163,0.9999999957930163,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-12-06,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,4035.6,929.0,2217.3,-0.655989631549713,0.0,29.6,19.9,69.0,24.75,5,12,49,24.8,8.260000000000002,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2370.0,0.0,0.0,0.9999999957805906,0.9999999957805906,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-12-08,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2450.0,2450.0,2450.0,2450.0,3779.0,3215.8,3616.4728571428573,0.15274043803993265,0.0,30.0,18.1,69.0,24.05,0,12,50,17.7,0.3999999999999986,0,0,0,1,2320.0,0,0,0,0,2500.0,0.020408163182007496,0.0,0.0,-0.019999999919999997,2464.285714285714,2467.8571428571427,24.39750182371426,74.95419846901083,0.9942028945162781,0.9927641059627503,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-12-09,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2500.0,2500.0,2500.0,2500.0,420.0,3779.0,3503.587142857143,0.17513526960631864,0.0,30.6,18.0,65.0,24.3,1,12,50,17.7,0.3999999999999986,0,0,0,1,2320.0,0,0,0,0,2500.0,0.0,0.020408163182007496,0.0,0.020408163182007496,2457.1428571428573,2460.714285714286,18.898223650462114,71.19467198239848,1.0174418563243643,1.015965162779822,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-12-10,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,2573.6,4035.6,2775.414285714286,3.3440258342303553,0.0,30.5,17.6,65.0,24.05,2,12,50,24.8,0.0,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2370.0,0.0,0.0,0.9999999957805906,0.9999999957805906,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-12-11,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0,2370.0,5516.5,2573.6,2739.242857142857,-0.36227574586182976,0.0,30.5,17.4,65.0,23.95,3,12,50,24.8,0.0,0,0,0,1,2320.0,0,0,0,0,2370.0,0.0,0.0,0.0,0.0,2370.0,2370.0,0.0,0.0,0.9999999957805906,0.9999999957805906,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025-12-16,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,716.9,4035.6,2721.8285714285716,0.3771028834669852,0.0,31.0,18.7,69.0,24.85,1,12,51,26.2,0.0,0,0,0,1,2320.0,0,0,0,0,2377.0,0.0,0.0,0.0,0.0,2377.0,2377.0,0.0,0.0,0.9999999957930163,0.9999999957930163,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
