date,state,District,Market,commodity,variety,grade,min_price,max_price,modal_price,weighted_avg_modal_price,day_of_week,month,week_of_year,arrival_qty_mt,arrival_lag_1,arrival_3d_mean,arrival_7d_mean,arrival_30d_mean,arrival_change_pct,is_likely_non_trading_day,rainfall,temp_max,temp_min,humidity,temp_avg,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,heavy_rain_days_7d,very_heavy_rain_days_7d,heavy_rain_flag,consecutive_dry_days,dry_spell_5d,dry_spell_flag,heat_stress_days_7d,cold_stress_days_7d,temp_diurnal,temp_diurnal_7d_mean,high_humidity_days_7d,rainfall_anomaly_7d,rainfall_zscore_7d,temp_max_zscore_7d,season_year,season_rainfall_cum,is_procurement_active,msp_value,msp_announced,msp_changed,procurement_started,procurement_ended,spread,log_spread,target_modal_price,target_min_price,target_max_price,target_spread,target_log_spread,target_return,target_min_return,target_max_return,lag_1,lag_3,lag_7,lag_14,min_price_lag_1,min_price_rolling_mean_7,max_price_lag_1,max_price_rolling_mean_7,spread_lag_1,spread_rolling_mean_7,spread_rolling_std_7,log_spread_lag_1,ret_1,ret_3,ret_7,ret_14,rolling_mean_3,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_3,rolling_std_7,rolling_std_14,rolling_std_30,ratio_ma7,ratio_ma14,ratio_ma30,seasonal_ma_7,seasonal_ma_30,seasonal_trend,is_harvest_season,is_monsoon_season,non_trading_lag1_interaction,rain_arrival_interaction,rain_harvest_interaction,heat_monsoon_interaction
2025-11-02,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),,,2400.0,2700.0,2600.0,2580.0,6,11,44,0.0,630.6800000000001,630.6800000000001,630.6800000000001,630.6800000000001,0.0,1,0.0,32.7,24.5,79.0,28.6,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0,1,0,0,0.0,0.0,8.200000000000003,8.7,1.0,0.1,0.7070567847218313,-0.707092495760871,2025,0.2,1,2320.0,0,0,0,0,300.0,5.707110264748875,2690.0,2500.0,2850.0,350.0,5.860786223465865,0.04263565874947419,0.04166666649305555,0.055555555349794235,2580.0,,,,2400.0,,2700.0,,300.0,,0.0,5.707110264748875,0.0,,,,2580.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1,0,2580.0,0.0,0.2,0.0
2025-11-03,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,FAQ,2500.0,2850.0,2700.0,2690.0,0,11,45,1522.2,0.0,315.34000000000003,315.34000000000003,315.34000000000003,-1.0,0,0.2,33.5,25.1,80.0,29.3,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0,2,0,0,0.0,0.0,8.399999999999999,8.450000000000001,1.0,-20.242857142857144,-1.1770166617205975,0.9990632875088827,2025,0.2,1,2320.0,0,0,0,0,350.0,5.860786223465865,2550.0,2400.0,2700.0,300.0,5.707110264748875,-0.05204460947195312,-0.039999999839999995,-0.05263157876269621,2580.0,,,,2400.0,2400.0,2700.0,2700.0,300.0,300.0,0.0,5.707110264748875,0.04263565874947419,,,,2580.0,2580.0,,,0.0,0.0,0.0,0.0,1.0426356548735052,,,2580.0,0.0,,1,0,0.0,0.0,0.2,0.0
2025-11-04,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,FAQ,2400.0,2700.0,2550.0,2550.0,1,11,45,1270.69,1522.2,717.6266666666667,717.6266666666667,717.6266666666667,0.0,0,5.5,32.0,24.1,86.0,28.05,0.2,0.4,0.4,0.4,0.4,0.0,0.0,0,3,0,0,0.0,0.0,7.899999999999999,8.433333333333334,1.0,-20.042857142857144,-1.1653877038772043,2.074977597133823,2025,0.4,1,2320.0,0,0,0,0,300.0,5.707110264748875,2600.0,2400.0,2800.0,400.0,5.993961427306569,0.0196078430603614,0.0,0.037037036899862825,2690.0,2580.0,,,2500.0,2433.3333333333335,2850.0,2750.0,350.0,316.6666666666667,28.86751345948128,5.860786223465865,-0.05204460947195312,-0.011627906931674778,,,2616.6666666666665,2616.6666666666665,2616.6666666666665,,63.5085296108589,63.5085296108589,63.5085296108589,0.0,0.9745222892693416,0.9745222892693416,,2616.6666666666665,0.0,,1,0,0.0,0.0,0.4,0.0
2025-11-05,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,FAQ,2400.0,2800.0,2600.0,2600.0,2,11,45,1094.97,1270.69,930.9633333333335,855.8925,855.8925,-0.16522795953225589,0,27.9,31.2,24.2,89.0,27.7,5.5,5.7,5.9,5.9,5.9,0.0,0.0,0,0,0,0,0.0,0.0,7.0,8.3,2.0,-14.542857142857143,-0.8455913631838873,0.05763826658705276,2025,5.9,1,2320.0,0,0,0,0,400.0,5.993961427306569,2600.0,2400.0,2800.0,400.0,5.993961427306569,0.0,0.0,0.0,2550.0,2580.0,,,2400.0,2425.0,2700.0,2737.5,300.0,312.5,24.999999999999993,5.707110264748875,0.0196078430603614,0.007751937954449852,,,2606.6666666666665,2600.0,2600.0,,73.71114795831998,61.64414002968979,61.64414002968979,0.0,0.999999996153846,0.999999996153846,,2600.0,0.0,,1,0,0.0,0.0,5.9,0.0
2025-11-06,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),,,2389.0,2399.0,2399.0,2397.0,3,11,45,685.53,1094.97,1094.97,1094.97,1094.97,0.0,0,0.4,31.5,23.8,84.0,27.65,27.9,27.9,27.9,27.9,27.9,1.0,0.0,0,0,0,0,0.0,0.0,7.699999999999999,7.0,1.0,5.260000000000002,0.415530248027468,-1.3388366232893238,2025,27.9,1,2320.0,0,0,0,0,10.0,2.3978952727983707,2397.0,2389.0,2399.0,10.0,2.3978952727983707,0.0,0.0,0.0,2397.0,,,,2389.0,,2399.0,,10.0,,0.0,2.3978952727983707,0.0,,,,2397.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1,0,0.0,0.0,27.9,0.0
2025-11-06,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,FAQ,2400.0,2800.0,2600.0,2600.0,3,11,45,685.53,1094.97,1295.9533333333334,903.708,903.708,-0.13828707237799942,0,0.4,31.5,23.8,84.0,27.65,27.9,33.6,33.8,33.8,33.8,1.0,0.0,0,0,0,0,0.0,0.0,7.699999999999999,8.040000000000001,3.0,13.357142857142854,0.7766482559694837,-1.0182760430378923,2025,33.8,1,2320.0,0,0,0,0,400.0,5.993961427306569,2400.0,2400.0,2400.0,0.0,0.0,-0.07692307662721894,0.0,-0.14285714234693878,2600.0,2690.0,,,2400.0,2420.0,2800.0,2750.0,400.0,330.0,44.72135954999579,5.993961427306569,0.0,-0.033457248946255576,,,2613.3333333333335,2600.0,2600.0,2600.0,70.94598884597595,53.385391260156574,53.385391260156574,53.385391260156574,0.999999996153846,0.999999996153846,0.999999996153846,2600.0,2600.0,0.0,1,0,0.0,0.0,33.8,0.0
2025-11-07,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),,,2389.0,2399.0,2399.0,2397.0,4,11,45,654.62,685.53,890.25,890.25,890.25,-0.37392805282336505,0,0.2,31.7,22.6,77.0,27.15,0.4,28.299999999999997,28.299999999999997,28.299999999999997,28.299999999999997,1.0,0.0,0,1,0,0,0.0,0.0,9.099999999999998,7.35,2.0,5.66,0.4471295064325985,-0.4259934710465962,2025,28.299999999999997,1,2320.0,0,0,0,0,10.0,2.3978952727983707,2397.0,2389.0,2399.0,10.0,2.3978952727983707,0.0,0.0,0.0,2397.0,,,,2389.0,2389.0,2399.0,2399.0,10.0,10.0,0.0,2.3978952727983707,0.0,,,,2397.0,2397.0,,,0.0,0.0,0.0,0.0,0.9999999958281184,,,2397.0,0.0,,1,0,0.0,0.0,28.299999999999997,0.0
2025-11-07,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Grade Range-1,2400.0,2400.0,2400.0,2400.0,4,11,45,654.62,685.53,1017.0633333333332,867.3449999999999,867.3449999999999,-0.37392805282336505,0,0.2,31.7,22.6,77.0,27.15,0.4,33.8,34.199999999999996,34.199999999999996,34.199999999999996,1.0,0.0,0,1,0,0,0.0,0.0,9.099999999999998,7.983333333333333,4.0,13.757142857142853,0.7999061716562703,-0.6148081769285373,2025,34.199999999999996,1,2320.0,0,0,0,0,0.0,0.0,2400.0,2400.0,2400.0,0.0,0.0,0.0,0.0,0.0,2600.0,2550.0,,,2400.0,2416.6666666666665,2800.0,2758.3333333333335,400.0,341.6666666666667,49.15960401250875,5.993961427306569,-0.07692307662721894,-0.058823529181084196,,,2583.3333333333335,2600.0,2600.0,2600.0,28.867513459481586,47.749345545253306,47.749345545253306,47.749345545253306,0.9230769195266272,0.9230769195266272,0.9230769195266272,2600.0,2600.0,0.0,1,0,0.0,0.0,34.199999999999996,0.0
2025-11-08,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),,,2389.0,2399.0,2399.0,2397.0,5,11,45,0.0,654.62,811.7066666666666,811.7066666666666,811.7066666666666,-0.045089201056117134,1,0.0,32.1,23.2,71.0,27.65,0.2,28.5,28.5,28.5,28.5,1.0,0.0,0,2,0,0,0.0,0.0,8.900000000000002,7.933333333333333,2.0,5.860000000000003,0.4629291356351641,0.18256863044855204,2025,28.5,1,2320.0,0,0,0,0,10.0,2.3978952727983707,2397.0,2389.0,2399.0,10.0,2.3978952727983707,0.0,0.0,0.0,2397.0,2397.0,,,2389.0,2389.0,2399.0,2399.0,10.0,10.0,0.0,2.3978952727983707,0.0,0.0,,,2397.0,2397.0,2397.0,,0.0,0.0,0.0,0.0,0.9999999958281184,0.9999999958281184,,2397.0,0.0,,1,0,2397.0,0.0,28.5,0.0
2025-11-08,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),,,2400.0,2400.0,2400.0,2400.0,5,11,45,0.0,654.62,811.7066666666666,836.9557142857144,836.9557142857144,-0.045089201056117134,1,0.0,32.1,23.2,71.0,27.65,0.2,28.5,34.4,34.4,34.4,1.0,0.0,0,2,0,0,0.0,0.0,8.900000000000002,8.142857142857142,4.0,13.957142857142856,0.8115351294996638,-0.34582959952230224,2025,34.4,1,2320.0,0,0,0,0,0.0,0.0,2400.0,2400.0,2400.0,0.0,0.0,0.0,0.0,0.0,2400.0,2600.0,2580.0,,2400.0,2414.285714285714,2400.0,2707.1428571428573,0.0,292.85714285714283,136.71311638052947,0.0,0.0,-0.07692307662721894,-0.06976744159004868,,2533.3333333333335,2571.4285714285716,2571.4285714285716,2571.4285714285716,115.47005383792528,87.2598745947169,87.2598745947169,87.2598745947169,0.9333333297037036,0.9333333297037036,0.9333333297037036,2571.4285714285716,2571.4285714285716,0.0,1,0,2400.0,0.0,34.4,0.0
