date,temp_max,temp_min,precipitation,rainfall,humidity,wind_max
2005-04-04,37.5,24.0,0.0,0.0,66,19.4
2005-04-05,35.7,26.8,0.4,0.4,67,17.2
2005-04-06,35.7,26.3,0.5,0.5,70,18.5
2005-04-07,36.3,25.5,0.0,0.0,67,17.8
2005-04-08,36.6,25.8,0.2,0.2,66,14.3
2005-04-09,36.1,27.0,0.4,0.4,68,14.2
2005-04-10,34.5,27.4,6.4,6.4,73,11.0
2005-04-11,33.8,27.3,1.7,1.7,73,12.4
2005-04-12,34.8,26.9,0.9,0.9,73,13.8
2005-04-13,37.0,26.8,0.6,0.6,69,16.2
2005-04-14,37.5,26.4,0.0,0.0,65,15.6
2005-04-15,37.4,26.6,0.0,0.0,65,16.6
2005-04-16,38.1,25.8,0.2,0.2,67,16.3
2005-04-17,38.5,27.1,0.0,0.0,64,17.2
2005-04-18,38.3,26.9,0.4,0.4,63,19.2
2005-04-19,36.1,27.1,0.0,0.0,64,14.8
2005-04-20,34.7,27.0,0.4,0.4,64,13.4
2005-04-21,38.0,25.8,0.5,0.5,62,15.5
2005-04-22,38.6,27.0,0.3,0.3,65,16.6
2005-04-23,37.7,27.2,0.0,0.0,66,17.5
2005-04-24,37.1,26.9,0.0,0.0,68,16.9
2005-04-25,36.4,27.6,0.0,0.0,65,14.1
2005-04-26,35.6,26.8,0.2,0.2,66,14.4
2005-04-27,37.4,27.2,0.5,0.5,65,14.0
2005-04-28,38.5,27.2,0.9,0.9,66,16.7
2005-04-29,37.1,28.4,0.3,0.3,69,14.9
2005-04-30,33.7,26.0,4.3,4.3,74,16.2
2005-05-01,33.4,26.7,2.6,2.6,72,13.7
2005-05-02,33.3,26.5,6.1,6.1,77,11.0
2005-05-03,32.1,26.3,1.7,1.7,78,11.8
2005-05-04,34.3,25.9,0.4,0.4,74,11.7
2005-05-05,34.9,25.2,3.4,3.4,72,10.0
2005-05-06,33.8,27.3,2.8,2.8,74,10.2
2005-05-07,36.1,26.9,0.0,0.0,72,13.5
2005-05-08,38.4,28.4,0.0,0.0,68,17.1
2005-05-09,40.0,28.5,0.1,0.1,65,13.4
2005-05-10,40.5,29.2,1.4,1.4,60,11.3
2005-05-11,40.6,28.4,0.0,0.0,58,11.2
2005-05-12,40.4,27.4,0.0,0.0,66,18.5
2005-05-13,40.2,27.9,0.0,0.0,66,16.6
2005-05-14,40.7,28.4,0.0,0.0,63,15.5
2005-05-15,40.2,28.3,0.0,0.0,65,15.6
2005-05-16,39.1,28.5,0.0,0.0,67,14.6
2005-05-17,38.8,28.2,0.0,0.0,68,13.7
2005-05-18,38.2,28.8,0.0,0.0,71,18.2
2005-05-19,37.4,28.7,0.0,0.0,70,18.7
2005-05-20,37.0,28.1,0.0,0.0,71,19.6
2005-05-21,36.8,27.7,0.0,0.0,71,19.2
2005-05-22,38.2,27.9,0.0,0.0,69,17.4
2005-05-23,38.1,28.7,0.0,0.0,72,18.6
2005-05-24,38.6,28.9,0.0,0.0,71,19.0
2005-05-25,40.9,29.2,0.0,0.0,64,16.6
2005-05-26,38.6,29.2,0.0,0.0,67,15.0
2005-05-27,38.6,29.4,0.0,0.0,65,13.0
2005-05-28,37.6,28.7,0.0,0.0,69,16.6
2005-05-29,36.2,28.8,1.5,1.5,73,17.6
2005-05-30,33.6,26.3,8.8,8.8,79,11.3
2005-05-31,34.5,26.8,0.1,0.1,75,13.7
2005-06-01,38.0,28.6,0.0,0.0,65,15.3
2005-06-02,37.7,28.3,3.1,3.1,67,12.2
2005-06-03,40.0,29.3,0.0,0.0,62,13.6
2005-06-04,39.2,29.8,0.0,0.0,65,14.9
2005-06-05,38.5,29.8,0.0,0.0,65,15.1
2005-06-06,39.1,29.5,0.0,0.0,67,19.4
2005-06-07,38.1,28.6,1.2,1.2,66,14.5
2005-06-08,39.1,29.9,0.0,0.0,58,14.4
2005-06-09,39.1,29.8,0.1,0.1,60,15.8
2005-06-10,40.1,29.6,0.2,0.2,55,12.6
2005-06-11,41.3,31.1,0.1,0.1,44,19.3
2005-06-12,42.4,30.5,0.7,0.7,43,19.4
2005-06-13,42.7,31.1,2.1,2.1,42,17.0
2005-06-14,41.8,31.0,0.0,0.0,46,23.4
2005-06-15,41.9,31.3,0.4,0.4,42,18.7
2005-06-16,41.0,31.8,0.7,0.7,44,16.4
2005-06-17,41.8,31.7,3.1,3.1,45,20.8
2005-06-18,39.3,29.6,0.0,0.0,54,16.7
2005-06-19,39.3,31.0,0.0,0.0,42,22.1
2005-06-20,39.4,30.7,0.0,0.0,47,21.2
2005-06-21,34.5,26.5,11.7,11.7,80,12.2
2005-06-22,31.2,26.1,8.9,8.9,78,17.8
2005-06-23,35.3,27.1,0.0,0.0,63,19.8
2005-06-24,35.7,27.4,5.7,5.7,59,21.5
2005-06-25,31.2,25.7,12.4,12.4,77,18.4
2005-06-26,32.0,25.3,8.2,8.2,78,17.8
2005-06-27,32.6,25.2,7.7,7.7,75,24.9
2005-06-28,29.8,25.1,11.7,11.7,84,20.1
2005-06-29,32.7,26.4,0.1,0.1,66,26.5
2005-06-30,33.0,26.0,2.0,2.0,64,25.2
2005-07-01,34.1,26.0,0.2,0.2,67,21.4
2005-07-02,33.9,27.8,0.0,0.0,61,26.3
2005-07-03,35.0,28.0,0.0,0.0,55,27.8
2005-07-04,34.9,26.9,1.0,1.0,62,24.5
2005-07-05,34.1,27.3,0.7,0.7,62,22.0
2005-07-06,33.7,27.0,0.0,0.0,63,21.0
2005-07-07,31.4,27.1,2.0,2.0,71,15.7
2005-07-08,27.1,25.2,47.4,47.4,88,19.2
2005-07-09,27.8,23.6,18.0,18.0,83,23.4
2005-07-10,30.6,23.8,0.0,0.0,70,21.3
2005-07-11,32.1,25.4,0.0,0.0,69,18.6
2005-07-12,33.2,25.7,0.1,0.1,72,13.9
2005-07-13,32.9,25.9,8.1,8.1,79,10.0
2005-07-14,32.4,25.6,13.0,13.0,83,10.9
2005-07-15,31.6,24.9,13.1,13.1,84,13.9
2005-07-16,31.0,25.3,4.6,4.6,83,11.7
2005-07-17,31.5,24.8,5.9,5.9,84,11.4
2005-07-18,31.7,25.2,0.5,0.5,81,9.4
2005-07-19,32.0,25.0,8.6,8.6,83,7.7
2005-07-20,31.9,25.2,11.2,11.2,83,11.9
2005-07-21,31.8,25.1,8.1,8.1,81,22.8
2005-07-22,29.6,25.5,7.0,7.0,85,22.4
2005-07-23,26.2,24.9,16.6,16.6,92,20.6
2005-07-24,26.3,24.1,16.7,16.7,90,22.3
2005-07-25,28.7,24.4,14.2,14.2,85,27.1
2005-07-26,28.0,24.2,4.6,4.6,84,28.8
2005-07-27,30.3,26.2,2.2,2.2,74,29.7
2005-07-28,31.3,26.5,2.6,2.6,73,23.8
2005-07-29,31.8,26.2,0.6,0.6,69,29.1
2005-07-30,30.8,27.1,0.0,0.0,67,28.5
2005-07-31,31.2,26.7,0.2,0.2,69,27.4
2005-08-01,31.0,26.9,0.0,0.0,68,24.6
2005-08-02,30.6,25.6,0.4,0.4,74,23.9
2005-08-03,31.2,26.0,0.0,0.0,71,28.4
2005-08-04,29.2,24.7,6.7,6.7,80,24.5
2005-08-05,30.0,25.0,1.0,1.0,76,25.2
2005-08-06,32.0,26.3,0.0,0.0,66,24.6
2005-08-07,30.6,25.5,6.0,6.0,75,24.1
2005-08-08,26.4,24.7,24.9,24.9,90,15.3
2005-08-09,30.6,24.9,5.1,5.1,82,22.7
2005-08-10,32.7,25.9,2.6,2.6,76,20.1
2005-08-11,31.7,26.1,0.0,0.0,71,21.2
2005-08-12,32.2,26.3,0.4,0.4,70,21.6
2005-08-13,32.3,25.9,0.0,0.0,72,21.9
2005-08-14,31.9,26.5,3.2,3.2,78,16.7
2005-08-15,29.1,25.2,17.6,17.6,88,19.4
2005-08-16,28.5,24.1,19.8,19.8,89,16.6
2005-08-17,31.6,25.0,0.0,0.0,75,20.0
2005-08-18,31.8,26.6,2.0,2.0,75,20.6
2005-08-19,30.1,26.7,0.0,0.0,74,18.5
2005-08-20,30.9,26.1,0.0,0.0,73,21.2
2005-08-21,31.4,26.2,0.0,0.0,73,17.8
2005-08-22,31.2,25.9,0.2,0.2,77,14.3
2005-08-23,31.9,26.1,1.2,1.2,79,13.3
2005-08-24,32.5,25.9,0.4,0.4,78,12.9
2005-08-25,32.8,25.6,0.7,0.7,76,10.6
2005-08-26,33.0,25.7,0.5,0.5,75,11.3
2005-08-27,32.9,25.5,0.0,0.0,75,8.3
2005-08-28,32.2,25.5,2.6,2.6,83,8.0
2005-08-29,33.5,25.6,1.0,1.0,81,9.1
2005-08-30,31.7,25.7,3.2,3.2,83,11.8
2005-08-31,32.4,26.2,6.0,6.0,81,11.4
2005-09-01,34.3,25.5,21.9,21.9,84,10.0
2005-09-02,32.4,25.4,10.2,10.2,86,7.2
2005-09-03,30.8,25.0,14.6,14.6,86,8.7
2005-09-04,30.7,24.9,8.6,8.6,86,10.8
2005-09-05,31.5,24.4,12.6,12.6,85,11.1
2005-09-06,31.5,24.7,8.1,8.1,86,9.8
2005-09-07,30.2,24.6,12.8,12.8,87,8.0
2005-09-08,28.5,24.5,12.5,12.5,91,6.1
2005-09-09,29.0,24.5,6.6,6.6,88,8.0
2005-09-10,27.0,24.5,20.1,20.1,94,15.0
