date,state,district,market,commodity,variety,grade,min_price,max_price,modal_price
2025-12-04,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0
2025-12-19,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0
2025-12-20,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0
2025-12-22,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0
2025-12-24,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0
2025-12-26,Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,2370.0,2370.0,2370.0
2025-12-16,Andhra Pradesh,Krishna,Divi APMC,Paddy(Common),B P T,FAQ,2300.0,2400.0,2350.0
2025-12-15,Andhra Pradesh,Nellore,Rapur APMC,Paddy(Common),Common,Non-FAQ,2370.0,2480.0,2440.0
2025-12-02,Andhra Pradesh,Krishna,Tiruvuru APMC,Paddy(Common),Sona,Local,2450.0,2450.0,2450.0
2025-12-10,Andhra Pradesh,Krishna,Tiruvuru APMC,Paddy(Common),Sona,Local,2500.0,2500.0,2500.0
2025-12-02,Andhra Pradesh,Kurnool,Nandyal APMC,Paddy(Common),Sona Mahsuri,Grade Range-2,2200.0,2200.0,2200.0
2025-12-03,Andhra Pradesh,Kurnool,Nandyal APMC,Paddy(Common),Sona Mahsuri,Grade Range-2,2000.0,2000.0,2000.0
2025-12-05,Andhra Pradesh,Kurnool,Nandyal APMC,Paddy(Common),Sona Mahsuri,Grade Range-2,2000.0,2000.0,2000.0
2025-12-12,Andhra Pradesh,Kurnool,Nandyal APMC,Paddy(Common),Sona Mahsuri,Grade Range-1,2100.0,2100.0,2100.0
2026-01-08,Andhra Pradesh,Visakhapatnam,Chintapally APMC,Paddy(Common),Paddy,FAQ,2369.0,2369.0,2369.0
2026-01-30,Andhra Pradesh,Kurnool,Nandyal APMC,Paddy(Common),Sona Mahsuri,Grade Range-1,2200.0,2200.0,2200.0
2026-03-25,Andhra Pradesh,East Godavari,Jaggampet APMC,Paddy(Common),Common,FAQ,2369.0,2379.0,2369.0
2026-03-28,Andhra Pradesh,East Godavari,Jaggampet APMC,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0
2026-03-28,Andhra Pradesh,Nellore,Rapur APMC,Paddy(Common),Common,Local,2390.0,2490.0,2460.0
2026-03-30,Andhra Pradesh,East Godavari,Jaggampet APMC,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0
2026-03-30,Andhra Pradesh,Nellore,Rapur APMC,Paddy(Common),Common,Local,2380.0,2470.0,2450.0
2026-03-12,Andhra Pradesh,Nellore,Atmakur(SPS) APMC,Paddy(Common),Nellore Sanna,FAQ,2320.0,2400.0,2369.0
2026-03-23,Andhra Pradesh,Nellore,Atmakur(SPS) APMC,Paddy(Common),Nellore Sanna,FAQ,2300.0,2400.0,2369.0
2026-03-28,Andhra Pradesh,Nellore,Atmakur(SPS) APMC,Paddy(Common),Nellore Sanna,FAQ,2300.0,2400.0,2369.0
2026-03-27,Andhra Pradesh,Nellore,Atmakur(SPS) APMC,Paddy(Common),Nellore Sanna,FAQ,2300.0,2400.0,2369.0
2026-03-12,Andhra Pradesh,Nellore,Rapur APMC,Paddy(Common),Common,Local,2380.0,2430.0,2400.0
2026-03-13,Andhra Pradesh,Nellore,Rapur APMC,Paddy(Common),Common,Local,2385.0,2430.0,2400.0
2026-03-20,Andhra Pradesh,Nellore,Rapur APMC,Paddy(Common),Common,Local,2390.0,2480.0,2450.0
2026-03-24,Andhra Pradesh,East Godavari,Jaggampet APMC,Paddy(Common),Common,FAQ,2369.0,2379.0,2369.0
2026-03-23,Andhra Pradesh,Nellore,Rapur APMC,Paddy(Common),Common,Local,2390.0,2480.0,2460.0
2026-03-22,Andhra Pradesh,East Godavari,Jaggampet APMC,Paddy(Common),Common,FAQ,2369.0,2379.0,2369.0
