date,state,district,market,commodity,variety,grade,min_price,max_price,modal_price
2026-08-06,Andhra Pradesh,East Godavari,Anaparthy APMC,Paddy(Common),Paddy,FAQ,2369,2430,2396
2026-08-06,Andhra Pradesh,East Godavari,Mandapeta APMC,Paddy(Common),1001,FAQ,2369,2400,2389
2026-08-06,Andhra Pradesh,Eluru,Kaikaluru APMC,Paddy(Common),MTU-1001,Local,2440,2440,2440
2026-08-06,Andhra Pradesh,Anakapally,Narsipatnam APMC,Paddy(Common),1001,Local,2390,2450,2400
2026-08-06,Andhra Pradesh,Anakapally,Yellamanchili APMC,Paddy(Common),1001,Local,2390,2450,2400
2026-08-06,Andhra Pradesh,Kakinada,Karapa APMC,Paddy(Common),1001,FAQ,2362,2369,2366
2026-08-06,Andhra Pradesh,Tirupathi,B.N.Kandriga APMC,Paddy(Common),Paddy,Local,2200,2200,2200
2026-08-06,Andhra Pradesh,Dr.B.R.A.Konaseema,Alamuru APMC,Paddy(Common),Paddy,FAQ,2369,2389,2369
2026-08-06,Andhra Pradesh,Dr.B.R.A.Konaseema,Mummidivaram APMC,Paddy(Common),1121,FAQ,2369,2468,2369
2026-08-06,Andhra Pradesh,Kakinada,Sampara (Kakinada Rural) APMC,Paddy(Common),Paddy Medium,FAQ,2369,2389,2379
2026-08-06,Andhra Pradesh,Prakasam,Santhamaguluru APMC,Paddy(Common),B P T,FAQ,2550,2580,2580
2026-08-06,Andhra Pradesh,Prakasam,Maddipadu APMC,Paddy(Common),B P T,FAQ,2500,2500,2500
2026-08-06,Andhra Pradesh,NTR,Mylavaram APMC,Paddy(Common),1001,FAQ,2369,2369,2369
2026-08-06,Andhra Pradesh,YSR Kadapa,Mydukur APMC,Paddy(Common),Masuri,Local,2300,2500,2400
2026-08-06,Andhra Pradesh,Bapatla,Chirala APMC,Paddy(Common),B P T,Local,2400,2500,2450
2026-08-06,Andhra Pradesh,Srikakulam,Kothabommali APMC,Paddy(Common),Paddy,Local,2500,2500,2500
2026-08-06,Andhra Pradesh,Eluru,Bhimadole APMC,Paddy(Common),1001,FAQ,2380,2380,2380
2026-08-06,Andhra Pradesh,Kakinada,Kakinada (Urban) APMC,Paddy(Common),Common,FAQ,2369,2390,2375
2026-08-06,Andhra Pradesh,Palnadu,Rompicherla APMC,Paddy(Common),Paddy,FAQ,2300,2480,2400
2026-08-06,Andhra Pradesh,Kakinada,Prattipadu APMC,Paddy(Common),1001,FAQ,2369,2389,2379
2026-08-06,Andhra Pradesh,Tirupathi,Vakadu APMC,Paddy(Common),B P T,Local,2389,2410,2400
2026-08-06,Andhra Pradesh,Nandyal,Atmakur (Nandyal District) APMC,Paddy(Common),Sona,FAQ,2500,2500,2500
2026-08-06,Andhra Pradesh,Tirupathi,Srikalahasti APMC,Paddy(Common),Paddy Medium,Local,2300,2600,2450
2026-08-06,Andhra Pradesh,Sri Sathya Sai,Dharmavaram APMC,Paddy(Common),B P T,FAQ,2000,2200,2100
2026-08-06,Andhra Pradesh,Srikakulam,Kanchili APMC,Paddy(Common),1001,FAQ,2400,2400,2400
2026-08-06,Andhra Pradesh,Vijayanagaram,Kothavalasa APMC,Paddy(Common),1001,Local,2369,2369,2369
2026-08-06,Andhra Pradesh,Kakinada,Samalkot APMC,Paddy(Common),Paddy,FAQ,2369,2380,2369
2026-08-06,Andhra Pradesh,Prakasam,Darsi APMC,Paddy(Common),B P T,Local,2350,2400,2400
2026-08-06,Andhra Pradesh,Srikakulam,Amadalavalasa APMC,Paddy(Common),Paddy,FAQ,2369,2369,2369
2026-08-06,Andhra Pradesh,Srikakulam,Pathapatnam APMC,Paddy(Common),Paddy,FAQ,2369,2500,2369
2026-08-06,Andhra Pradesh,Visakhapatnam,Pendurthi APMC,Paddy(Common),Paddy,Local,2300,2300,2300
2026-08-06,Andhra Pradesh,Visakhapatnam,Bhimunipatnam APMC,Paddy(Common),Samba Masuri,Local,2369,2369,2369
2026-08-06,Andhra Pradesh,Dr.B.R.A.Konaseema,Amalapuram APMC,Paddy(Common),1001,FAQ,2369,2468,2369
2026-08-06,Andhra Pradesh,Palnadu,Sattenapalli APMC,Paddy(Common),B P T,FAQ,2350,2500,2400
2026-08-06,Andhra Pradesh,Srikakulam,Ichapuram APMC,Paddy(Common),Sannalu,Local,2369,2369,2369
2026-08-06,Andhra Pradesh,Srikakulam,Etcherla APMC,Paddy(Common),1121,FAQ,2369,2369,2369
2026-08-06,Andhra Pradesh,Krishna,Ghantsala (HQ-Kodali) APMC,Paddy(Common),1001,Local,2200,2400,2300
2026-08-06,Andhra Pradesh,Srikakulam,Hiramandalam APMC,Paddy(Common),Masuri,Local,2390,2390,2390
2026-08-06,Andhra Pradesh,Palnadu,Ipur APMC,Paddy(Common),Paddy,FAQ,2500,2600,2550
2026-08-06,Andhra Pradesh,Anakapally,Madugula APMC,Paddy(Common),Paddy,Local,2200,2400,2300
2026-08-06,Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Paddy(Common),I.R. 64,Grade Range-2,3300,3800,3500
2026-08-06,Andhra Pradesh,Srikakulam,Narasannapet APMC,Paddy(Common),Paddy,FAQ,2369,2369,2369
2026-08-06,Andhra Pradesh,Palnadu,Narasaraopet APMC,Paddy(Common),Paddy,FAQ,3000,3000,3000
2026-08-06,Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Paddy(Common),B P T,FAQ,3000,3600,3200
2026-08-06,Andhra Pradesh,Anakapally,Chodavaram APMC,Paddy(Common),Paddy,Local,2200,2400,2300
2026-08-06,Andhra Pradesh,Kakinada,Jaggampet APMC,Paddy(Common),Common,FAQ,2369,2380,2369
2026-08-06,Andhra Pradesh,West Godavari,Penugonda APMC,Paddy(Common),1001,Local,2369,2380,2370
2026-08-06,Andhra Pradesh,West Godavari,Attili APMC,Paddy(Common),Paddy,Local,2369,2389,2369
2026-08-06,Andhra Pradesh,Prakasam,Addanki APMC,Paddy(Common),Paddy,Local,2390,2400,2400
2026-08-06,Andhra Pradesh,Prakasam,Kandukur APMC,Paddy(Common),Other,Local,2380,2450,2400
2026-08-06,Andhra Pradesh,SPSR Nellore,Kavali APMC,Paddy(Common),Other,Local,2380,2450,2410
2026-08-06,Andhra Pradesh,Kakinada,Peddapuram APMC,Paddy(Common),1001,FAQ,2369,2380,2369
2026-08-06,Andhra Pradesh,Palnadu,Macharla APMC,Paddy(Common),B P T,Grade Range-1,2450,2450,2450
2026-08-06,Andhra Pradesh,Eluru,Polavaram APMC,Paddy(Common),1001,Local,2445,2445,2445
2026-08-06,Andhra Pradesh,Kakinada,Pithapuram APMC,Paddy(Common),B P T,FAQ,2369,2389,2379
2026-08-06,Andhra Pradesh,Srikakulam,Srikakulam APMC,Paddy(Common),1001,FAQ,2400,2400,2400
2026-08-06,Andhra Pradesh,Eluru,Ungatur APMC,Paddy(Common),1001,Local,2445,2445,2445
2026-08-06,Andhra Pradesh,NTR,Tiruvuru APMC,Paddy(Common),Sona,Local,2700,2700,2700
2026-08-06,Andhra Pradesh,Palnadu,Rajupalem APMC,Paddy(Common),Common,Non-FAQ,2000,2000,2000
2026-08-06,Andhra Pradesh,Polavaram,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,2369,2489,2379
2026-08-06,Andhra Pradesh,SPSR Nellore,Atmakur (SPSR Nellore District) APMC,Paddy(Common),Nellore Sanna,FAQ,2300,2400,2369
2026-08-06,Andhra Pradesh,Dr.B.R.A.Konaseema,Ramachandrapuram APMC,Paddy(Common),Paddy,FAQ,2369,2380,2369
