date,state,District,Market,commodity,variety,grade,modal_price,min_price,max_price,weighted_avg_modal_price,arrival_qty_mt,rainfall,msp_value,data_source
2023-08-11,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2383.97,2348.35,2411.16,2383.97,56.67,1.1,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-12,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2379.72,2335.99,2421.8,2379.72,5.63,3.9,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-13,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2386.84,2361.05,2420.62,2386.84,106.72,0.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-14,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2394.67,2367.23,2436.61,2394.67,17.27,0.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-15,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2381.44,2347.4,2424.3,2381.44,72.49,0.0,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-16,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2382.27,2338.59,2408.52,2382.27,80.67,26.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-17,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2397.6,2366.28,2440.27,2397.6,40.97,5.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-18,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2391.93,2356.79,2425.9,2391.93,61.44,5.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-19,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2382.86,2357.03,2418.07,2382.86,80.84,2.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-20,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2391.78,2363.81,2429.31,2391.78,37.44,1.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-21,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2384.55,2339.82,2428.08,2384.55,130.71,0.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-22,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2385.35,2341.05,2410.73,2385.35,78.42,1.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-23,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2391.83,2366.73,2426.37,2391.83,82.16,1.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-24,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2375.4,2331.36,2414.15,2375.4,32.61,4.9,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-25,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2377.72,2339.94,2417.17,2377.72,32.78,2.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-26,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2387.83,2345.47,2426.68,2387.83,72.77,0.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-27,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2385.03,2350.94,2412.72,2385.03,76.98,0.1,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-28,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2396.44,2361.13,2427.43,2396.44,52.16,0.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-29,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2387.46,2352.68,2419.63,2387.46,19.53,1.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-30,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2384.22,2345.88,2425.31,2384.22,104.39,9.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-08-31,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2408.04,2380.25,2438.62,2408.04,57.11,3.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-01,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2395.29,2369.69,2424.5,2395.29,33.42,5.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-02,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2398.42,2367.26,2442.57,2398.42,31.09,2.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-03,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2387.26,2348.17,2412.44,2387.26,163.8,1.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-04,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2395.08,2366.04,2440.04,2395.08,49.52,0.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-05,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2401.09,2362.62,2439.63,2401.09,15.17,7.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-06,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2391.76,2347.36,2433.33,2391.76,128.91,5.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-07,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2404.73,2377.85,2435.62,2404.73,43.33,0.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-08,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2397.67,2359.22,2422.96,2397.67,35.23,2.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-09,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2400.89,2367.01,2440.65,2400.89,21.18,2.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-10,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2399.15,2356.79,2440.83,2399.15,59.3,3.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-11,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2419.52,2390.98,2459.33,2419.52,108.27,10.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-12,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2405.32,2366.47,2433.18,2405.32,60.92,3.0,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-13,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2397.69,2355.93,2437.76,2397.69,38.12,2.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-14,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2413.45,2369.56,2453.83,2413.45,12.54,0.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-15,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2397.81,2359.15,2435.98,2397.81,45.74,0.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-16,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2409.95,2375.01,2450.27,2409.95,70.33,0.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-17,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2393.3,2355.94,2435.22,2393.3,26.56,0.1,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-18,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2399.04,2356.66,2436.31,2399.04,132.74,4.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-19,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2411.92,2375.51,2438.69,2411.92,38.97,4.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-20,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2416.93,2391.32,2451.68,2416.93,74.29,0.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-21,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2413.06,2369.44,2439.61,2413.06,40.4,6.3,2320.0,Data.gov.in API Key + Open-Meteo
